aplaudirati,aplaudira,aplaudirao,aplaudirala,aplaudiralo,aplaudirace aplaudiracu aplaudiraces
zadrzati,zadrzi,zadrzao,zadrzala,zadrzalo,zadrzace zadrzacu zadrzaces
podzrati,podrzi,podrzao,podrzala,podrzalo,podrzace podrzacu podrzaces
dezurati,dezura,dezurao,dezurala,dezuralo,dezurace dezuracu dezuraces
deliti,deli,delio,delila,delilo,delice delicu delices
podeliti,podeli,podelio,podelila,podelilo,podelice podelicu podelices
misliti,misli,mislio,mislila,mislilo,mislice mislicu mislices
promisliti,pomisli,pomislio,pomislila,pomislilo,pomislice pomislicu pomislices
zamisliti,zamisli,zamislio,zamislila,zamislilo,zamislice zamislicu zamislices
razmisljati,razmislja,razmisljao,razmisljala,razmisljalo,razmisljace razmisljacu razmisljaces
sazaljevati,sazaljeva,sazaljevao,sazaljevala,sazaljevalo,sazaljevace sazaljevacu sazaljevaces
zaliti,zali,zalio,zalila,zalilo,zalice zalicu zalices
zariti,zari,zario,zarila,zarilo,zarice zaricu zarices
ozariti,ozari,ozario,ozarila,ozarilo,ozarice ozaricu ozarices
zudeti,zudi,zudeo,zudela,zudelo,zudece zudecu zudeces
zuteti,zuti,zuteo,zutela,zutelo,zutece zutecu zuteces
zeniti,zeni,zenio,zenila,zenilo,zenice zenicu zenices
udati,uda,udao,udala,udalo,udace udacu udaces
vencati,venca,vencao,vencala,vencalo,vencace vencacu vencaces
veriti,veri,verio,verila,verilo,verice vericu verices
poveriti,poveri,poverio,poverila,poverilo,poverice povericu poverices
debljati,deblja,debljao,debljala,debljalo,debljace debljacu debljaces
udebljati,udeblja,udebljao,udebljala,udebljalo,udebljace udebljacu udebljaces
ziveti,zivi,ziveo,zivela,zivelo,zivece zivecu ziveces
preziveti,prezivi,preziveo,prezivela,prezivelo,prezivece prezivecu preziveces
nadziveti,nadzivi,nadziveo,nadzivela,nadzivelo,nadzivece nadzivecu nadziveces
skinuti,skine,skinuo,skinula,skinulo,skinuce skinucu skinuces
svuci,svuce,svukao,svukla,svuklo,svucice svucicu svucices
presvuci,presvuce,presvukao,presvukla,presvuklo,presvucice presvucicu presvucices
skrenuti,skrene,skrenuo,skrenula,skrenulo,skrenuce skrenucu skrenuces
stati,stane,stao,stala,stalo,stace stacu staces
stojati,stoji,stajao,stajala,stajalo,stajace stajacu stajaces
ostati,ostane,ostao,ostala,ostalo,ostace ostacu ostaces
odustati,odustane,odustao,odustala,odustalo,odustace odustacu odustaces
prepustiti,prepusta,prepustao,prepustala,prepustalo,prepustace prepustacu prepustaces
prihvatiti,prihvata,prihvatao,prihvatala,prihvatalo,prihvatace prihvatacu prihvataces
zabiti,zabija,zabio,zabila,zabilo,zabice zabicu zabijaces
nabiti,nabija,nabio,nabila,nabilo,nabice nabicu nabijaces
kucati,kuca,kucao,kucala,kucalo,kucace kucacu kucaces
ukucati,ukuca,ukucao,ukucala,ukucalo,ukucace ukucacu ukucaces
ukrcati,ukrca,ukrcao,ukrcala,ukrcalo,ukrcace ukrcacu ukracaces
terati,tera,tera,terala,teralo,terace teracu teraces
uterati,uteruje,uterao,uterala,uteralo,uterace uteracu uteraces
naterati,nateruje,naterao,naterala,nateralo,naterace nateracu nateraces
preterati,preteruje,preterao,preterala,preteralo,preterace preteracu preteraces
tovariti,tovari,tovario,tovarila,tovarilo,tovarice tovaricu tovarices
